product_sku,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,unit_cost,total_value,region_almacen,is_active,anio,mes,vacaciones_o_no,es_feriado,temporada_alta,semana_del_anio,dia_del_mes,dia_de_la_semana,es_fin_de_semana,trimestre,lag_1,lag_7,lag_30,media_movil_7d,media_movil_30d,media_movil_exponencial,std_movil_30d,variacion_stock_diaria,tendencia_stock,dias_desde_ultimo_pedido,ratio_reservado_disponible,anomalia_stock,rotacion_estimada_30d,estacion_Otoño,estacion_Primavera,estacion_Verano
BCA-115,3,185,14,171,70,150,200,80,14.3,0.9,166.5,Sur,1,2024,1,0,0,1,5,31,2,0,1,177.0,167.0,137.0,164.71428571428572,160.5,170.2882858995507,25.38496704201402,-6.0,4.214285714285722,3.0,0.08187134502923976,0.4136306335407769,2.6728971962616823,False,False,False
BCA-115,3,171,42,129,70,150,200,80,10.6,0.9,153.9,Sur,1,2024,2,0,0,0,5,1,3,0,1,171.0,148.0,131.0,162.0,160.43333333333334,159.966214424663,25.467603942552444,-42.0,1.5666666666666629,8.0,0.32558139534883723,-1.234247768429172,1.9821317265738625,False,False,False
BCA-115,3,160,18,142,70,150,200,80,11.1,0.9,144.0,Sur,1,2024,2,0,0,0,5,2,4,0,1,129.0,142.0,141.0,162.0,160.46666666666667,155.47466081849726,25.441932985191762,13.0,1.5333333333333314,9.0,0.1267605633802817,-0.725835834777767,2.075197341088492,False,False,False
BCA-115,3,153,27,126,70,150,200,80,13.0,0.9,137.7,Sur,1,2024,2,0,0,0,5,3,5,1,1,142.0,130.0,212.0,161.42857142857142,157.6,148.10599561387295,24.252408341128262,-16.0,3.828571428571422,5.0,0.21428571428571427,-1.302963382255583,2.474619289340102,False,False,False
BCA-115,3,227,41,186,70,150,200,80,9.4,0.9,204.3,Sur,1,2024,2,0,0,0,5,4,6,1,1,126.0,196.0,186.0,160.0,157.6,157.57949671040473,24.252408341128262,60.0,2.4000000000000057,0.0,0.22043010752688172,1.1710177232929928,1.7893401015228427,False,False,False
BCA-115,3,223,11,212,70,150,200,80,10.4,0.9,200.7,Sur,1,2024,2,0,0,0,6,5,0,0,1,186.0,189.0,154.0,163.28571428571428,159.53333333333333,171.18462253280353,26.18993401439112,26.0,3.752380952380946,1.0,0.05188679245283019,2.0033141984182445,1.9557041370664439,False,False,False
BCA-115,3,219,34,185,70,150,200,80,11.9,0.9,197.1,Sur,1,2024,2,0,0,0,6,6,1,0,1,212.0,177.0,162.0,164.42857142857142,160.3,174.63846689960263,26.598094305601204,-27.0,4.128571428571405,6.0,0.1837837837837838,0.9286379586524925,2.22707423580786,False,False,False
BCA-115,3,212,48,164,70,150,200,80,10.1,0.9,190.8,Sur,1,2024,2,0,0,0,6,7,2,0,1,185.0,171.0,125.0,163.42857142857142,161.6,171.97885017470196,25.752937562605325,-21.0,1.828571428571422,2.0,0.2926829268292683,0.09319325199952867,1.875,False,False,False
BCA-115,3,205,33,172,70,150,200,80,8.9,0.9,184.5,Sur,1,2024,2,0,0,0,6,8,3,0,1,164.0,129.0,131.0,169.57142857142858,162.96666666666667,171.98413763102647,25.153985539189353,8.0,6.604761904761915,4.0,0.19186046511627908,0.35912135352306684,1.6383718551851094,False,False,False
BCA-115,3,193,22,171,70,150,200,80,8.0,0.9,173.7,Sur,1,2024,2,0,0,0,6,9,4,0,1,172.0,142.0,207.0,173.71428571428572,161.76666666666668,171.73810322326986,23.803336963012406,-1.0,11.947619047619042,3.0,0.1286549707602339,0.3879007950725916,1.4836183803832679,False,False,False
BCA-115,3,184,15,169,70,150,200,80,12.7,0.9,165.6,Sur,1,2024,2,0,0,0,6,10,5,1,1,171.0,126.0,194.0,179.85714285714286,160.93333333333334,171.0535774174524,23.062035280182183,-2.0,18.923809523809524,5.0,0.08875739644970414,0.34978121265812834,2.3674399337199667,False,False,False
BCA-115,3,176,30,146,70,150,200,80,11.7,0.9,158.4,Sur,1,2024,2,0,0,0,6,11,6,1,1,169.0,186.0,155.0,174.14285714285714,160.63333333333333,164.7901830630893,23.20000495441881,-23.0,13.509523809523813,2.0,0.2054794520547945,-0.6307469917391624,2.1851006432869893,False,False,False
BCA-115,3,170,37,133,70,150,200,80,13.3,0.9,153.0,Sur,1,2024,2,0,1,0,7,12,0,0,1,146.0,212.0,160.0,162.85714285714286,159.73333333333332,156.84263729731697,23.742778696477057,-13.0,3.123809523809541,1.0,0.2781954887218045,-1.1259563876278726,2.4979131886477464,False,False,False
BCA-115,3,164,16,148,70,150,200,80,10.9,0.9,147.6,Sur,1,2024,2,0,0,0,7,13,1,0,1,133.0,185.0,140.0,157.57142857142858,160.0,154.63197797298773,23.55770611161832,15.0,-2.4285714285714164,7.0,0.10810810810810811,-0.5093874566200558,2.04375,False,False,False
BCA-115,3,152,28,124,70,150,200,80,9.6,0.9,136.8,Sur,1,2024,2,0,0,0,7,14,2,0,1,148.0,164.0,149.0,151.85714285714286,159.16666666666666,146.9739834797408,24.38779136814344,-24.0,-7.309523809523796,9.0,0.22580645161290322,-1.441978329886942,1.8094240837696336,False,False,False
BCA-115,3,223,35,188,70,150,200,80,12.0,0.9,200.7,Sur,1,2024,2,0,0,0,7,15,3,0,1,124.0,172.0,131.0,154.14285714285714,161.06666666666666,157.2304876098056,24.33804079799887,64.0,-6.923809523809524,0.0,0.18617021276595744,1.1066352282369358,2.2350993377483444,False,False,False
