id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,warehouse_location,shelf_location,region_almacen,stock_status,is_active,last_updated_at,created_by_id,record_sequence_number,categoria_producto,subcategoria_producto,anio,mes,vacaciones_o_no,es_feriado,temporada_alta
501,2025-05-15,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,188,1,187,80,180,250,0,188.0,,2025-05-15,0.7,131.6,2026-01-10,BATCH-C501,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-15,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
502,2025-05-16,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,182,1,181,80,180,250,0,185.0,,2025-05-16,0.7,127.4,2026-01-11,BATCH-C502,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-16,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
503,2025-05-17,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,169,2,167,80,180,250,0,179.7,,2025-05-17,0.7,118.3,2026-01-12,BATCH-C503,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-17,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
504,2025-05-18,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,160,0,160,80,180,250,0,174.8,,2025-05-18,0.7,112.0,2026-01-13,BATCH-C504,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-18,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
505,2025-05-19,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,151,3,148,80,180,250,0,170.0,,2025-05-19,0.7,105.7,2026-01-14,BATCH-C505,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-19,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
506,2025-05-20,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,136,0,136,80,180,250,0,164.3,,2025-05-20,0.7,95.2,2026-01-15,BATCH-C506,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-20,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
507,2025-05-21,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,124,1,123,80,180,250,0,158.6,,2025-05-21,0.7,86.8,2026-01-16,BATCH-C507,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-21,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
508,2025-05-22,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,118,2,116,80,180,250,0,148.6,,2025-05-22,0.7,82.6,2026-01-17,BATCH-C508,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-22,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
509,2025-05-23,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,110,1,109,80,180,250,0,138.3,,2025-05-23,0.7,77.0,2026-01-18,BATCH-C509,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-23,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
510,2025-05-24,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,96,2,94,80,180,250,0,127.9,,2025-05-24,0.7,67.2,2026-01-19,BATCH-C510,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-24,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
511,2025-05-25,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,85,1,84,80,180,250,0,117.1,,2025-05-25,0.7,59.5,2026-01-20,BATCH-C511,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-25,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
512,2025-05-26,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,74,1,73,80,180,250,135,106.1,2025-05-26,2025-05-26,0.7,51.8,2026-01-21,BATCH-C512,Almacén Central,Pasillo 3,Sur,LOW,activo,2025-05-26,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
513,2025-05-27,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,56,0,56,80,180,250,139,94.7,2025-05-27,2025-05-27,0.7,39.2,2026-01-22,BATCH-C513,Almacén Central,Pasillo 3,Sur,LOW,activo,2025-05-27,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
514,2025-05-28,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,42,3,39,80,180,250,134,83.0,2025-05-28,2025-05-28,0.7,29.4,2026-01-23,BATCH-C514,Almacén Central,Pasillo 3,Sur,LOW,activo,2025-05-28,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
515,2025-05-29,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,133,2,131,80,180,250,112,85.1,2025-05-29,2025-05-29,0.7,93.1,2026-01-24,BATCH-C515,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-29,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
516,2025-05-30,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,229,0,229,80,180,250,0,102.1,,2025-05-30,0.7,160.3,2026-01-25,BATCH-C516,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-30,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
517,2025-05-31,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,348,1,347,80,180,250,0,138.1,,2025-05-31,0.7,243.6,2026-01-26,BATCH-C517,Almacén Central,Pasillo 3,Sur,OK,activo,2025-05-31,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
518,2025-06-01,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,439,3,436,80,180,250,0,188.7,,2025-06-01,0.7,307.3,2026-01-27,BATCH-C518,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-01,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
519,2025-06-02,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,430,3,427,80,180,250,0,239.6,,2025-06-02,0.7,301.0,2026-01-28,BATCH-C519,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-02,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
520,2025-06-03,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,421,3,418,80,180,250,0,291.7,,2025-06-03,0.7,294.7,2026-01-29,BATCH-C520,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-03,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
521,2025-06-04,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,414,1,413,80,180,250,0,344.9,,2025-06-04,0.7,289.8,2026-01-30,BATCH-C521,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-04,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
522,2025-06-05,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,408,0,408,80,180,250,0,384.1,,2025-06-05,0.7,285.6,2026-01-31,BATCH-C522,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-05,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
523,2025-06-06,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,394,2,392,80,180,250,0,407.7,,2025-06-06,0.7,275.8,2026-02-01,BATCH-C523,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-06,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
524,2025-06-07,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,383,0,383,80,180,250,0,412.7,,2025-06-07,0.7,268.1,2026-02-02,BATCH-C524,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-07,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
525,2025-06-08,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,365,0,365,80,180,250,0,402.1,,2025-06-08,0.7,255.5,2026-02-03,BATCH-C525,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-08,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
526,2025-06-09,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,359,0,359,80,180,250,0,392.0,,2025-06-09,0.7,251.3,2026-02-04,BATCH-C526,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-09,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
527,2025-06-10,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,353,0,353,80,180,250,0,382.3,,2025-06-10,0.7,247.1,2026-02-05,BATCH-C527,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-10,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
528,2025-06-11,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,341,1,340,80,180,250,0,371.9,,2025-06-11,0.7,238.7,2026-02-06,BATCH-C528,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-11,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
529,2025-06-12,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,335,2,333,80,180,250,0,361.4,,2025-06-12,0.7,234.5,2026-02-07,BATCH-C529,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-12,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
530,2025-06-13,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,322,0,322,80,180,250,0,351.1,,2025-06-13,0.7,225.4,2026-02-08,BATCH-C530,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-13,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
531,2025-06-14,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,314,3,311,80,180,250,0,341.3,,2025-06-14,0.7,219.8,2026-02-09,BATCH-C531,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-14,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
532,2025-06-15,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,304,2,302,80,180,250,0,332.6,,2025-06-15,0.7,212.8,2026-02-10,BATCH-C532,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-15,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
533,2025-06-16,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,295,1,294,80,180,250,0,323.4,,2025-06-16,0.7,206.5,2026-02-11,BATCH-C533,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-16,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
534,2025-06-17,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,277,0,277,80,180,250,0,312.6,,2025-06-17,0.7,193.9,2026-02-12,BATCH-C534,Almacén Central,Pasillo 3,Sur,OK,activo,2025-06-17,503,3,Snacks,Barras de Cereal,2025,6,False,False,False
