id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,warehouse_location,shelf_location,region_almacen,stock_status,is_active,last_updated_at,created_by_id,record_sequence_number,categoria_producto,subcategoria_producto,anio,mes,vacaciones_o_no,es_feriado,temporada_alta
1,2024-01-01,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,209,40,169,80,180,250,90,13.0,2024-01-01,2023-12-31,0.7,146.3,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-01,503,3,Snacks,Barras de Cereal,2024,1,False,True,True
2,2024-01-02,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,189,38,151,80,180,250,90,13.0,2024-01-01,2023-12-30,0.7,132.3,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-02,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
3,2024-01-03,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,264,28,236,80,180,250,90,13.0,2024-01-03,2023-12-31,0.7,184.8,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-03,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
4,2024-01-04,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,244,25,219,80,180,250,90,13.0,2023-12-29,2024-01-03,0.7,170.8,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-04,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
5,2024-01-05,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,232,36,196,80,180,250,90,13.0,2023-12-29,2024-01-03,0.7,162.4,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-05,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
6,2024-01-06,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,205,34,171,80,180,250,90,13.0,2023-12-28,2024-01-04,0.7,143.5,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-06,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
7,2024-01-07,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,192,32,160,80,180,250,90,13.0,2024-01-05,2024-01-05,0.7,134.4,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-07,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
8,2024-01-08,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,272,46,226,80,180,250,90,19.1,2024-01-08,2024-01-07,0.7,190.4,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-08,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
9,2024-01-09,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,256,35,221,80,180,250,90,18.7,2023-12-31,2024-01-06,0.7,179.2,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-09,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
10,2024-01-10,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,240,31,209,80,180,250,90,14.7,2024-01-06,2024-01-07,0.7,168.0,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2024-01-10,503,3,Snacks,Barras de Cereal,2024,1,False,False,True
