id,created_at,product_id,product_name,product_sku,supplier_id,supplier_name,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,last_order_date,last_stock_count_date,unit_cost,total_value,expiration_date,batch_number,warehouse_location,shelf_location,region_almacen,stock_status,is_active,last_updated_at,created_by_id,record_sequence_number,categoria_producto,subcategoria_producto,anio,mes,vacaciones_o_no,es_feriado,temporada_alta
501,2025-05-15,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2354,25,2329,80,180,500,0,22.0,2025-05-13,2025-05-11,0.7,1647.8,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-15,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
502,2025-05-16,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2332,18,2314,80,180,500,0,22.0,2025-05-13,2025-05-11,0.7,1632.4,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-16,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
503,2025-05-17,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2305,30,2275,80,180,500,0,27.0,2025-05-13,2025-05-11,0.7,1613.5,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-17,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
504,2025-05-18,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2275,28,2247,80,180,500,0,30.0,2025-05-13,2025-05-11,0.7,1592.5,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-18,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
505,2025-05-19,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2254,15,2239,80,180,500,0,21.0,2025-05-13,2025-05-11,0.7,1577.8,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-19,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
506,2025-05-20,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2235,12,2223,80,180,500,0,19.0,2025-05-13,2025-05-11,0.7,1564.5,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-20,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
507,2025-05-21,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2214,20,2194,80,180,500,0,21.0,2025-05-13,2025-05-11,0.7,1549.8,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-21,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
508,2025-05-22,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2192,22,2170,80,180,500,0,22.0,2025-05-13,2025-05-11,0.7,1534.4,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-22,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
509,2025-05-23,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2168,35,2133,80,180,500,0,24.0,2025-05-13,2025-05-11,0.7,1517.6,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-23,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
510,2025-05-24,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2140,38,2102,80,180,500,0,28.0,2025-05-13,2025-05-11,0.7,1498.0,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-24,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
511,2025-05-25,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2110,30,2080,80,180,500,0,30.0,2025-05-13,2025-05-11,0.7,1477.0,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-25,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
512,2025-05-26,103,Barra Cereal Choco,CRT-103,203,Proveedor C,3,2089,18,2071,80,180,500,0,21.0,2025-05-13,2025-05-11,0.7,1462.3,2025-10-30,BATCH-C1,Almacén Central,Pasillo 3,Sur,activo,1,2025-05-26,503,3,Snacks,Barras de Cereal,2025,5,False,False,False
