product_sku,prioridad_proveedor,quantity_on_hand,quantity_reserved,quantity_available,minimum_stock_level,reorder_point,optimal_stock_level,reorder_quantity,average_daily_usage,unit_cost,total_value,region_almacen,is_active,anio,mes,vacaciones_o_no,es_feriado,temporada_alta,semana_del_anio,dia_del_mes,dia_de_la_semana,es_fin_de_semana,trimestre,lag_1,lag_7,lag_30,media_movil_7d,media_movil_30d,media_movil_exponencial,std_movil_30d,variacion_stock_diaria,tendencia_stock,dias_desde_ultimo_pedido,ratio_reservado_disponible,anomalia_stock,rotacion_estimada_30d,estacion_Otoño,estacion_Primavera,estacion_Verano
BCA-115,3,264,0,264,70,150,200,0,11.3,0.9,237.6,Sur,activo,2025,6,0,0,0,24,14,5,1,2,269.0,340.0,189.0,293.42857142857144,236.76666666666668,291.02954925902134,127.2796766650278,-5.0,56.661904761904765,9999.0,0.0,0.21396450750739635,1.4317893847669998,False,False,True
BCA-115,3,248,1,247,70,150,200,0,11.7,0.9,223.2,Sur,activo,2025,6,0,0,0,24,15,6,1,2,264.0,329.0,174.0,281.7142857142857,239.2,280.02216194426603,126.7349664620539,-17.0,42.514285714285734,9999.0,0.004048582995951417,0.06154576134547234,1.4673913043478262,False,False,True
BCA-115,3,234,2,232,70,150,200,0,12.0,0.9,210.6,Sur,activo,2025,6,0,0,0,25,16,0,0,2,247.0,316.0,161.0,269.7142857142857,241.56666666666666,268.01662145819955,125.88437040651105,-15.0,28.14761904761906,9999.0,0.008620689655172414,-0.07599566678352193,1.4902718366220504,False,False,True
BCA-115,3,219,3,216,70,150,200,0,12.3,0.9,197.1,Sur,activo,2025,6,0,0,0,25,17,1,0,2,232.0,304.0,146.0,257.14285714285717,243.9,255.01246609364966,124.69503488165809,-16.0,13.242857142857162,9999.0,0.013888888888888888,-0.22374587750409244,1.5129151291512914,False,False,True
BCA-115,3,204,2,202,70,150,200,0,13.1,0.9,183.6,Sur,activo,2025,6,0,0,0,25,18,2,0,2,216.0,294.0,135.0,244.0,246.13333333333333,241.75934957023725,123.26918493290603,-14.0,-2.1333333333333258,9999.0,0.009900990099009901,-0.3580240540841945,1.5966955579631636,False,False,True
BCA-115,3,193,2,191,70,150,200,0,12.4,0.9,173.7,Sur,activo,2025,6,0,0,0,25,19,3,0,2,202.0,278.0,127.0,231.57142857142858,248.26666666666668,229.06951217767795,121.67988906265016,-11.0,-16.695238095238096,9999.0,0.010471204188481676,-0.47063378433211256,1.498388829215897,False,False,True
BCA-115,3,178,0,178,70,150,200,0,13.4,0.9,160.2,Sur,activo,2025,6,0,0,0,25,20,4,0,2,191.0,269.0,112.0,218.57142857142858,250.46666666666667,216.30213413325845,119.71193393491218,-13.0,-31.895238095238085,9999.0,0.0,-0.6053420430586901,1.6050039925472452,False,False,True
BCA-115,3,164,2,162,70,150,200,0,14.3,0.9,147.6,Sur,activo,2025,6,0,0,0,25,21,5,1,2,178.0,264.0,103.0,204.0,252.43333333333334,202.72660059994382,117.67303717573077,-16.0,-48.43333333333334,9999.0,0.012345679012345678,-0.7685136332317304,1.699458602931467,False,False,True
BCA-115,3,147,1,146,70,150,200,0,14.4,0.9,132.3,Sur,activo,2025,6,0,0,0,25,22,6,1,2,162.0,247.0,84.0,189.57142857142858,254.5,188.54495044995787,115.12983675114295,-16.0,-64.92857142857142,9999.0,0.00684931506849315,-0.9424142608186481,1.6974459724950883,False,False,True
BCA-115,3,134,0,134,70,150,200,0,14.3,0.9,120.6,Sur,activo,2025,6,0,0,0,26,23,0,0,2,146.0,232.0,76.0,175.57142857142858,256.43333333333334,174.90871283746839,112.48561082946634,-12.0,-80.86190476190475,9999.0,0.0,-1.0884355112668431,1.6729494345508904,False,False,True
